pos_x,pos_y,hit_time,type_note,end_time
200,0,408,5,408
800,0,408,1,408
400,0,741,1,741
600,0,741,1,741
800,0,1074,1,1074
200,0,1407,1,1407
400,0,1407,1,1407
600,0,1741,1,1741
400,0,2074,1,2074
800,0,2074,1,2074
600,0,2241,1,2241
200,0,2407,1,2407
600,0,2741,1,2741
800,0,2741,1,2741
400,0,3074,1,3074
200,0,3407,1,3407
600,0,3407,1,3407
800,0,3741,1,3741
200,0,4074,1,4074
400,0,4074,1,4074
600,0,4407,1,4407
200,0,4741,1,4741
800,0,4741,1,4741
600,0,4907,1,4907
400,0,5074,1,5074
600,0,5407,1,5407
800,0,5407,1,5407
200,0,5741,1,5741
400,0,5741,1,5741
400,0,6074,1,6074
600,0,6074,1,6074
800,0,6407,1,6407
200,0,6741,1,6741
400,0,6741,1,6741
800,0,7074,1,7074
200,0,7407,1,7407
600,0,7407,1,7407
400,0,7574,1,7574
800,0,7741,1,7741
200,0,8074,1,8074
400,0,8074,1,8074
600,0,8407,1,8407
400,0,8741,1,8741
800,0,8741,1,8741
200,0,9074,1,9074
800,0,9407,1,9407
600,0,9491,1,9491
400,0,9574,1,9574
200,0,9657,1,9657
800,0,9741,1,9741
400,0,9907,1,9907
800,0,10241,1,10241
600,0,10324,1,10324
400,0,10407,1,10407
200,0,10741,128,11074
400,0,10741,1,10741
600,0,11074,1,11074
800,0,11074,128,11407
200,0,11407,1,11407
400,0,11407,1,11407
600,0,11574,1,11574
800,0,11741,1,11741
200,0,11907,1,11907
400,0,12074,1,12074
800,0,12074,1,12074
600,0,12241,1,12241
200,0,12407,128,12741
600,0,12741,1,12741
800,0,12741,1,12741
400,0,12907,1,12907
200,0,13074,1,13074
800,0,13241,1,13241
200,0,13407,1,13407
600,0,13407,1,13407
400,0,13574,1,13574
600,0,13741,128,14074
200,0,14074,1,14074
400,0,14074,1,14074
800,0,14241,1,14241
600,0,14407,1,14407
400,0,14574,1,14574
200,0,14741,1,14741
800,0,14741,1,14741
600,0,14907,1,14907
400,0,15074,128,15407
600,0,15407,1,15407
800,0,15407,1,15407
200,0,15574,1,15574
400,0,15741,1,15741
600,0,15907,1,15907
200,0,16074,1,16074
800,0,16074,1,16074
400,0,16241,1,16241
600,0,16407,128,16741
800,0,16407,1,16407
200,0,16741,1,16741
400,0,16741,1,16741
800,0,16907,1,16907
600,0,17074,1,17074
200,0,17241,1,17241
400,0,17407,1,17407
800,0,17407,1,17407
600,0,17574,1,17574
400,0,17741,128,18074
600,0,18074,1,18074
800,0,18074,1,18074
200,0,18241,1,18241
400,0,18407,1,18407
800,0,18574,1,18574
200,0,18741,1,18741
600,0,18741,1,18741
400,0,18907,1,18907
800,0,19074,128,19407
200,0,19407,1,19407
400,0,19407,1,19407
600,0,19574,1,19574
800,0,19741,1,19741
400,0,19907,1,19907
200,0,20074,1,20074
600,0,20074,1,20074
800,0,20241,1,20241
400,0,20407,1,20407
200,0,20574,1,20574
600,0,20741,1,20741
800,0,20741,1,20741
200,0,21074,1,21074
400,0,21157,1,21157
600,0,21241,1,21241
800,0,21324,1,21324
400,0,21407,1,21407
600,0,21574,1,21574
200,0,21741,1,21741
400,0,21741,1,21741
600,0,22074,1,22074
800,0,22074,1,22074
400,0,22241,1,22241
200,0,22407,1,22407
600,0,22574,1,22574
400,0,22741,1,22741
800,0,22741,1,22741
200,0,22907,1,22907
600,0,23074,1,23074
200,0,23407,1,23407
400,0,23407,1,23407
600,0,23574,1,23574
800,0,23741,1,23741
400,0,23907,1,23907
200,0,24074,1,24074
600,0,24074,1,24074
800,0,24241,1,24241
400,0,24407,128,24741
600,0,24741,1,24741
800,0,24741,1,24741
200,0,24907,1,24907
400,0,25074,1,25074
800,0,25241,1,25241
200,0,25407,1,25407
600,0,25407,1,25407
400,0,25574,1,25574
800,0,25741,128,26074
200,0,26074,1,26074
400,0,26074,1,26074
600,0,26241,1,26241
200,0,26407,1,26407
400,0,26491,1,26491
600,0,26574,1,26574
400,0,26741,1,26741
800,0,26741,1,26741
200,0,27074,128,27241
600,0,27241,128,27407
400,0,27407,128,27574
800,0,27574,128,27741
200,0,27741,128,27907
600,0,27907,128,28074
400,0,28074,128,28241
800,0,28241,128,28407
200,0,28407,128,28574
600,0,28574,128,28741
400,0,28741,128,28907
800,0,28907,128,29074
200,0,29074,128,29241
600,0,29241,1,29241
400,0,29407,1,29407
600,0,29491,1,29491
800,0,29574,1,29574
200,0,29741,128,30074
400,0,29741,1,29741
600,0,30074,1,30074
800,0,30074,1,30074
400,0,30241,1,30241
200,0,30407,1,30407
600,0,30574,1,30574
200,0,30741,1,30741
400,0,30741,1,30741
800,0,30907,1,30907
600,0,31074,128,31407
200,0,31407,1,31407
400,0,31407,1,31407
800,0,31574,1,31574
200,0,31741,1,31741
400,0,31824,1,31824
600,0,31907,1,31907
800,0,31991,1,31991
200,0,32074,1,32074
600,0,32407,1,32407
800,0,32407,1,32407
400,0,32574,1,32574
200,0,32741,1,32741
600,0,32907,1,32907
800,0,32907,1,32907
400,0,33074,1,33074
200,0,33241,1,33241
600,0,33407,1,33407
800,0,33407,1,33407
400,0,33574,1,33574
200,0,33741,1,33741
600,0,33741,1,33741
800,0,33907,1,33907
400,0,34074,1,34074
200,0,34241,1,34241
600,0,34241,1,34241
800,0,34407,1,34407
400,0,34574,1,34574
800,0,34741,1,34741
600,0,34824,1,34824
400,0,34907,1,34907
200,0,34991,1,34991
600,0,35074,1,35074
800,0,35074,128,35407
200,0,35407,1,35407
400,0,35407,1,35407
600,0,35574,1,35574
800,0,35741,1,35741
400,0,35907,1,35907
200,0,36074,1,36074
800,0,36074,1,36074
600,0,36407,128,36741
200,0,36741,1,36741
400,0,36741,1,36741
800,0,37074,1,37074
600,0,37157,1,37157
400,0,37241,1,37241
200,0,37324,1,37324
600,0,37407,1,37407
200,0,37741,1,37741
400,0,37741,1,37741
600,0,37907,1,37907
800,0,38074,1,38074
200,0,38241,1,38241
400,0,38241,1,38241
600,0,38407,1,38407
800,0,38574,1,38574
200,0,38741,1,38741
400,0,38741,1,38741
600,0,38907,1,38907
400,0,39074,1,39074
800,0,39074,1,39074
200,0,39241,1,39241
600,0,39407,1,39407
400,0,39574,1,39574
800,0,39574,1,39574
200,0,39741,1,39741
600,0,39907,1,39907
200,0,40074,1,40074
400,0,40157,1,40157
