pos_x,pos_y,hit_time,type_note,end_time
700,0,12,5,12
400,0,312,1,312
850,0,612,1,612
550,0,912,1,912
700,0,1212,1,1212
400,0,1412,1,1412
400,0,1612,1,1612
700,0,1912,1,1912
850,0,2212,1,2212
550,0,2512,1,2512
700,0,2812,1,2812
400,0,3012,1,3012
700,0,3212,1,3212
850,0,3512,1,3512
550,0,3812,1,3812
400,0,4112,1,4112
850,0,4412,1,4412
850,0,4612,1,4612
700,0,4812,1,4812
850,0,5112,1,5112
550,0,5412,1,5412
700,0,5712,1,5712
850,0,6012,1,6012
400,0,6412,1,6412
700,0,6412,1,6412
850,0,6712,1,6712
400,0,7012,1,7012
700,0,7312,1,7312
550,0,7612,1,7612
850,0,7812,1,7812
550,0,8012,1,8012
700,0,8012,1,8012
850,0,8312,1,8312
400,0,8612,1,8612
700,0,8912,1,8912
550,0,9212,1,9212
850,0,9412,1,9412
400,0,9612,1,9612
700,0,9612,1,9612
550,0,9912,1,9912
700,0,10212,1,10212
850,0,10512,1,10512
400,0,10812,1,10812
850,0,11012,1,11012
700,0,11212,1,11212
700,0,11212,1,11212
400,0,11512,1,11512
700,0,11812,1,11812
550,0,12112,1,12112
400,0,12412,1,12412
850,0,12812,1,12812
550,0,12812,1,12812
400,0,13112,1,13112
850,0,13412,1,13412
550,0,13712,1,13712
700,0,14012,1,14012
400,0,14212,1,14212
700,0,14412,1,14412
550,0,14412,1,14412
400,0,14712,1,14712
850,0,15012,1,15012
550,0,15312,1,15312
700,0,15612,1,15612
400,0,15812,1,15812
850,0,16012,1,16012
550,0,16012,1,16012
700,0,16312,1,16312
550,0,16612,1,16612
400,0,16912,1,16912
850,0,17212,1,17212
400,0,17412,1,17412
550,0,17612,1,17612
700,0,17612,1,17612
850,0,17912,1,17912
550,0,18212,1,18212
700,0,18512,1,18512
850,0,18812,1,18812
700,0,19212,5,19212
400,0,19212,1,19212
850,0,19512,1,19512
550,0,19812,1,19812
700,0,20112,1,20112
550,0,20412,1,20412
400,0,20612,1,20612
850,0,20812,1,20812
550,0,20812,1,20812
700,0,21112,1,21112
850,0,21412,1,21412
700,0,21712,1,21712
550,0,22012,1,22012
400,0,22212,1,22212
700,0,22412,1,22412
550,0,22412,1,22412
850,0,22712,1,22712
400,0,23012,1,23012
700,0,23312,1,23312
550,0,23612,1,23612
700,0,23812,1,23812
850,0,24012,1,24012
550,0,24012,1,24012
400,0,24312,1,24312
550,0,24612,1,24612
700,0,24912,1,24912
850,0,24912,1,24912
550,0,25212,1,25212
400,0,25212,1,25212
550,0,25612,5,25612
700,0,25612,1,25612
400,0,25912,1,25912
850,0,26212,1,26212
550,0,26512,1,26512
700,0,26812,1,26812
850,0,27012,1,27012
400,0,27212,1,27212
700,0,27212,1,27212
550,0,27512,1,27512
400,0,27812,1,27812
550,0,28112,1,28112
700,0,28412,1,28412
850,0,28612,1,28612
550,0,28812,1,28812
700,0,28812,1,28812
400,0,29112,1,29112
850,0,29412,1,29412
550,0,29712,1,29712
700,0,30012,1,30012
850,0,30212,1,30212
400,0,30412,1,30412
700,0,30412,1,30412
850,0,30712,1,30712
700,0,31012,1,31012
550,0,31312,1,31312
