pos_x,pos_y,hit_time,type_note,end_time
400,0,408,5,408
850,0,408,1,408
550,0,741,1,741
700,0,741,1,741
850,0,1074,1,1074
400,0,1407,1,1407
550,0,1407,1,1407
700,0,1741,1,1741
550,0,2074,1,2074
850,0,2074,1,2074
700,0,2241,1,2241
400,0,2407,1,2407
700,0,2741,1,2741
850,0,2741,1,2741
550,0,3074,1,3074
400,0,3407,1,3407
700,0,3407,1,3407
850,0,3741,1,3741
400,0,4074,1,4074
550,0,4074,1,4074
700,0,4407,1,4407
400,0,4741,1,4741
850,0,4741,1,4741
700,0,4907,1,4907
550,0,5074,1,5074
700,0,5407,1,5407
850,0,5407,1,5407
400,0,5741,1,5741
550,0,5741,1,5741
550,0,6074,1,6074
700,0,6074,1,6074
850,0,6407,1,6407
400,0,6741,1,6741
550,0,6741,1,6741
850,0,7074,1,7074
400,0,7407,1,7407
700,0,7407,1,7407
550,0,7574,1,7574
850,0,7741,1,7741
400,0,8074,1,8074
550,0,8074,1,8074
700,0,8407,1,8407
550,0,8741,1,8741
850,0,8741,1,8741
400,0,9074,1,9074
850,0,9407,1,9407
700,0,9491,1,9491
550,0,9574,1,9574
400,0,9657,1,9657
850,0,9741,1,9741
550,0,9907,1,9907
850,0,10241,1,10241
700,0,10324,1,10324
550,0,10407,1,10407
400,0,10741,128,11074
550,0,10741,1,10741
700,0,11074,1,11074
850,0,11074,128,11407
400,0,11407,1,11407
550,0,11407,1,11407
700,0,11574,1,11574
850,0,11741,1,11741
400,0,11907,1,11907
550,0,12074,1,12074
850,0,12074,1,12074
700,0,12241,1,12241
400,0,12407,128,12741
700,0,12741,1,12741
850,0,12741,1,12741
550,0,12907,1,12907
400,0,13074,1,13074
850,0,13241,1,13241
400,0,13407,1,13407
700,0,13407,1,13407
550,0,13574,1,13574
700,0,13741,128,14074
400,0,14074,1,14074
550,0,14074,1,14074
850,0,14241,1,14241
700,0,14407,1,14407
550,0,14574,1,14574
400,0,14741,1,14741
850,0,14741,1,14741
700,0,14907,1,14907
550,0,15074,128,15407
700,0,15407,1,15407
850,0,15407,1,15407
400,0,15574,1,15574
550,0,15741,1,15741
700,0,15907,1,15907
400,0,16074,1,16074
850,0,16074,1,16074
550,0,16241,1,16241
700,0,16407,128,16741
850,0,16407,1,16407
400,0,16741,1,16741
550,0,16741,1,16741
850,0,16907,1,16907
700,0,17074,1,17074
400,0,17241,1,17241
550,0,17407,1,17407
850,0,17407,1,17407
700,0,17574,1,17574
550,0,17741,128,18074
700,0,18074,1,18074
850,0,18074,1,18074
400,0,18241,1,18241
550,0,18407,1,18407
850,0,18574,1,18574
400,0,18741,1,18741
700,0,18741,1,18741
550,0,18907,1,18907
850,0,19074,128,19407
400,0,19407,1,19407
550,0,19407,1,19407
700,0,19574,1,19574
850,0,19741,1,19741
550,0,19907,1,19907
400,0,20074,1,20074
700,0,20074,1,20074
850,0,20241,1,20241
550,0,20407,1,20407
400,0,20574,1,20574
700,0,20741,1,20741
850,0,20741,1,20741
400,0,21074,1,21074
550,0,21157,1,21157
700,0,21241,1,21241
850,0,21324,1,21324
