pos_x,pos_y,hit_time,type_note,end_time
600,0,22164,5,22164
400,0,22478,1,22478
200,0,22792,1,22792
600,0,23106,1,23106
800,0,23421,1,23421
400,0,23735,1,23735
600,0,24049,1,24049
200,0,24363,1,24363
400,0,24677,1,24677
800,0,24991,1,24991
200,0,25305,1,25305
600,0,25620,1,25620
800,0,25934,1,25934
400,0,26248,1,26248
200,0,26562,1,26562
800,0,26876,1,26876
600,0,27190,1,27190
200,0,27504,1,27504
800,0,27819,1,27819
400,0,28133,1,28133
200,0,28447,1,28447
600,0,28761,1,28761
800,0,29075,1,29075
200,0,29389,1,29389
400,0,29703,1,29703
800,0,30017,1,30017
600,0,30332,1,30332
200,0,30646,128,31902
800,0,30960,1,30960
400,0,31274,1,31274
800,0,31588,1,31588
400,0,32216,1,32216
600,0,32531,1,32531
800,0,32845,1,32845
400,0,33159,1,33159
200,0,33159,1,33159
600,0,33316,1,33316
800,0,33473,1,33473
400,0,33630,1,33630
200,0,33787,1,33787
600,0,33944,1,33944
800,0,34101,1,34101
200,0,34258,1,34258
400,0,34415,1,34415
600,0,34572,1,34572
63,0,34730,1,34730
800,0,34887,1,34887
400,0,35044,1,35044
600,0,35201,1,35201
200,0,35358,1,35358
400,0,35515,1,35515
600,0,35672,1,35672
200,0,35829,1,35829
800,0,35986,1,35986
200,0,36143,1,36143
600,0,36300,1,36300
400,0,36457,1,36457
200,0,36614,1,36614
600,0,36771,1,36771
400,0,36928,1,36928
800,0,37086,1,37086
200,0,37243,1,37243
600,0,37400,1,37400
600,0,37714,1,37714
200,0,37871,1,37871
800,0,38028,1,38028
400,0,38185,1,38185
200,0,38185,1,38185
600,0,38342,1,38342
200,0,38499,1,38499
800,0,38656,1,38656
400,0,38813,1,38813
600,0,38970,1,38970
200,0,39127,1,39127
800,0,39285,1,39285
400,0,39442,1,39442
800,0,39599,1,39599
400,0,39756,1,39756
600,0,39913,1,39913
200,0,40070,1,40070
600,0,40227,1,40227
200,0,40384,1,40384
600,0,40541,1,40541
400,0,40698,1,40698
