pos_x,pos_y,hit_time,type_note,end_time
400,0,665,5,665
850,0,665,1,665
550,0,1002,1,1002
700,0,1170,1,1170
850,0,1339,1,1339
400,0,1676,1,1676
550,0,1844,1,1844
700,0,2013,1,2013
850,0,2013,1,2013
850,0,2518,1,2518
400,0,2687,1,2687
400,0,3024,1,3024
550,0,3193,1,3193
700,0,3361,1,3361
850,0,3361,1,3361
550,0,3698,1,3698
850,0,3867,1,3867
400,0,4035,1,4035
550,0,4372,1,4372
700,0,4709,1,4709
550,0,4878,1,4878
400,0,5047,1,5047
700,0,5215,1,5215
550,0,5384,1,5384
850,0,5721,1,5721
700,0,5889,1,5889
400,0,6058,1,6058
550,0,6058,1,6058
850,0,6395,1,6395
700,0,6563,1,6563
550,0,6732,1,6732
850,0,7069,1,7069
700,0,7238,1,7238
400,0,7406,1,7406
550,0,7406,1,7406
400,0,7912,1,7912
850,0,8080,1,8080
850,0,8417,1,8417
550,0,8586,1,8586
400,0,8754,1,8754
850,0,8754,1,8754
700,0,9260,1,9260
400,0,9429,1,9429
400,0,9766,1,9766
700,0,10103,1,10103
550,0,10271,1,10271
400,0,10440,1,10440
850,0,10777,1,10777
700,0,11114,128,11451
400,0,11451,1,11451
550,0,11451,1,11451
850,0,11788,1,11788
550,0,12125,1,12125
700,0,12125,1,12125
400,0,12462,1,12462
550,0,12631,1,12631
700,0,12799,1,12799
850,0,12799,1,12799
400,0,13136,1,13136
550,0,13473,1,13473
700,0,13473,1,13473
850,0,13811,1,13811
700,0,13979,1,13979
400,0,14148,1,14148
550,0,14148,1,14148
850,0,14485,1,14485
550,0,14822,1,14822
700,0,14822,1,14822
400,0,15159,1,15159
700,0,15496,1,15496
550,0,15664,1,15664
400,0,15833,1,15833
550,0,16170,1,16170
700,0,16170,1,16170
850,0,16507,1,16507
700,0,16676,1,16676
400,0,16844,1,16844
550,0,16844,1,16844
850,0,17181,1,17181
550,0,17518,1,17518
700,0,17518,1,17518
400,0,17856,1,17856
550,0,18024,1,18024
700,0,18193,1,18193
850,0,18193,1,18193
400,0,18530,1,18530
550,0,18867,1,18867
850,0,18867,1,18867
700,0,19204,1,19204
550,0,19372,1,19372
400,0,19541,1,19541
850,0,19541,1,19541
700,0,19878,1,19878
400,0,20215,1,20215
550,0,20215,1,20215
700,0,20552,1,20552
850,0,20889,1,20889
700,0,21058,1,21058
550,0,21226,1,21226
700,0,21563,1,21563
850,0,21563,1,21563
400,0,21900,128,22238
700,0,22238,1,22238
850,0,22238,1,22238
550,0,22575,1,22575
700,0,22743,1,22743
400,0,22912,1,22912
850,0,22912,1,22912
700,0,23249,1,23249
400,0,23586,1,23586
550,0,23586,1,23586
700,0,23923,1,23923
550,0,24091,1,24091
400,0,24260,1,24260
850,0,24260,1,24260
700,0,24597,1,24597
400,0,24934,1,24934
550,0,24934,1,24934
700,0,25271,1,25271
550,0,25440,1,25440
400,0,25608,1,25608
700,0,25608,1,25608
550,0,25945,1,25945
700,0,26282,1,26282
850,0,26282,1,26282
550,0,26620,1,26620
700,0,26788,1,26788
400,0,26957,1,26957
850,0,26957,1,26957
700,0,27294,1,27294
400,0,27631,1,27631
850,0,27631,1,27631
700,0,27968,1,27968
850,0,28136,1,28136
400,0,28305,1,28305
550,0,28305,1,28305
700,0,28642,1,28642
550,0,28979,1,28979
850,0,28979,1,28979
400,0,29316,1,29316
550,0,29485,1,29485
700,0,29653,1,29653
850,0,29653,1,29653
550,0,29990,1,29990
400,0,30159,1,30159
700,0,30327,1,30327
850,0,30327,1,30327
550,0,30664,1,30664
700,0,30833,1,30833
400,0,31002,1,31002
850,0,31002,1,31002
700,0,31339,1,31339
550,0,31507,1,31507
400,0,31676,1,31676
850,0,31676,1,31676
550,0,32013,1,32013
850,0,32350,1,32350
700,0,32687,1,32687
550,0,32856,1,32856
400,0,33024,1,33024
400,0,33193,1,33193
550,0,34372,1,34372
550,0,34541,1,34541
700,0,35721,1,35721
700,0,35889,1,35889
850,0,37069,1,37069
850,0,37238,1,37238
400,0,37743,1,37743
550,0,37912,1,37912
700,0,38080,1,38080
850,0,38249,1,38249
