pos_x,pos_y,hit_time,type_note,end_time
400,0,156,128,4293
850,0,4293,128,5673
550,0,5673,128,7052
700,0,7052,128,8431
850,0,8431,128,9811
400,0,9811,128,10500
700,0,10500,128,11190
550,0,11535,1,11535
550,0,12224,1,12224
550,0,12914,1,12914
550,0,13604,1,13604
700,0,14293,1,14293
700,0,14983,1,14983
700,0,15673,1,15673
700,0,16362,1,16362
400,0,17052,1,17052
400,0,17742,1,17742
550,0,18431,1,18431
550,0,19121,1,19121
850,0,19811,1,19811
850,0,20500,1,20500
700,0,21190,1,21190
700,0,21880,1,21880
550,0,22561,1,22561
550,0,23235,1,23235
550,0,23850,1,23850
700,0,24300,1,24300
700,0,24592,1,24592
550,0,25021,1,25021
550,0,25566,1,25566
550,0,26099,1,26099
700,0,26477,1,26477
700,0,26725,1,26725
400,0,27092,1,27092
400,0,27553,1,27553
400,0,28005,1,28005
850,0,28338,1,28338
850,0,28556,1,28556
400,0,28877,1,28877
400,0,29290,1,29290
400,0,29690,1,29690
850,0,29975,1,29975
850,0,30164,1,30164
550,0,30447,1,30447
700,0,30824,1,30824
550,0,31198,1,31198
700,0,31479,1,31479
550,0,31667,1,31667
700,0,31948,1,31948
550,0,32323,1,32323
700,0,32698,1,32698
550,0,32979,1,32979
700,0,33167,1,33167
400,0,33448,1,33448
850,0,33823,1,33823
400,0,34198,1,34198
850,0,34479,1,34479
400,0,34667,1,34667
850,0,34948,1,34948
400,0,35323,1,35323
850,0,35698,1,35698
850,0,36636,1,36636
850,0,37011,1,37011
850,0,37386,1,37386
850,0,37761,1,37761
400,0,37948,1,37948
700,0,38136,1,38136
700,0,38511,1,38511
700,0,38886,1,38886
700,0,39261,1,39261
850,0,39448,1,39448
550,0,39636,1,39636
550,0,40011,1,40011
700,0,40386,1,40386
700,0,40761,1,40761
550,0,40948,1,40948
850,0,41136,1,41136
850,0,41511,1,41511
400,0,41886,1,41886
850,0,42261,1,42261
550,0,42448,1,42448
400,0,42636,1,42636
400,0,43011,1,43011
400,0,43386,1,43386
400,0,43761,1,43761
850,0,43948,1,43948
550,0,44136,1,44136
550,0,44511,1,44511
550,0,44886,1,44886
550,0,45261,1,45261
400,0,45448,1,45448
700,0,45636,1,45636
700,0,46011,1,46011
550,0,46386,1,46386
550,0,46761,1,46761
700,0,46948,1,46948
400,0,47136,1,47136
400,0,47511,1,47511
850,0,47886,1,47886
850,0,48261,1,48261
550,0,48448,1,48448
700,0,48636,1,48636
550,0,49011,1,49011
700,0,49386,1,49386
550,0,49761,1,49761
700,0,50136,1,50136
550,0,50511,1,50511
700,0,50886,1,50886
550,0,51261,1,51261
400,0,51636,1,51636
400,0,52011,1,52011
550,0,52386,1,52386
550,0,52761,1,52761
700,0,53136,1,53136
700,0,53511,1,53511
850,0,53886,1,53886
400,0,54261,1,54261
550,0,54636,1,54636
700,0,55011,1,55011
550,0,55386,1,55386
700,0,55761,1,55761
550,0,56136,1,56136
700,0,56511,1,56511
550,0,56886,1,56886
700,0,57261,1,57261
850,0,57636,1,57636
850,0,58011,1,58011
700,0,58386,1,58386
700,0,58761,1,58761
550,0,59136,1,59136
550,0,59511,1,59511
400,0,59886,1,59886
850,0,60261,1,60261
400,0,60636,128,61386
550,0,61386,128,62136
700,0,62136,128,63636
850,0,63636,128,64386
700,0,64386,128,65136
550,0,65136,128,66636
400,0,66636,128,67386
550,0,67386,128,68136
700,0,68136,128,69636
850,0,69636,128,70386
700,0,70386,128,71136
550,0,71136,128,72636
700,0,72636,1,72636
400,0,73011,1,73011
700,0,73386,1,73386
400,0,73761,1,73761
700,0,74136,1,74136
400,0,74511,1,74511
700,0,74886,1,74886
400,0,75261,1,75261
850,0,75636,1,75636
850,0,76011,1,76011
700,0,76386,1,76386
700,0,76761,1,76761
550,0,77136,1,77136
550,0,77511,1,77511
400,0,77886,1,77886
850,0,78261,1,78261
550,0,78636,1,78636
850,0,79011,1,79011
550,0,79386,1,79386
850,0,79761,1,79761
550,0,80136,1,80136
850,0,80511,1,80511
550,0,80886,1,80886
850,0,81261,1,81261
400,0,81636,1,81636
400,0,82011,1,82011
550,0,82386,1,82386
550,0,82761,1,82761
700,0,83136,1,83136
700,0,83511,1,83511
850,0,83886,1,83886
400,0,84261,1,84261
850,0,84636,128,85386
400,0,85011,1,85011
700,0,85386,128,86136
400,0,85761,1,85761
550,0,86136,128,87636
850,0,86511,1,86511
850,0,86886,1,86886
850,0,87261,1,87261
400,0,87636,128,88386
850,0,88011,1,88011
550,0,88386,128,89136
850,0,88761,1,88761
700,0,89136,128,90636
400,0,89511,1,89511
400,0,89886,1,89886
400,0,90261,1,90261
850,0,90636,128,91386
400,0,91011,1,91011
700,0,91386,128,92136
400,0,91761,1,91761
550,0,92136,128,93636
850,0,92511,1,92511
850,0,92886,1,92886
850,0,93261,1,93261
400,0,93636,128,94386
850,0,94011,1,94011
550,0,94386,128,95136
850,0,94761,1,94761
700,0,95136,128,96636
400,0,95511,1,95511
400,0,95886,1,95886
400,0,96261,1,96261
550,0,96636,1,96636
550,0,97011,1,97011
550,0,97386,1,97386
550,0,97761,1,97761
700,0,98136,1,98136
700,0,98511,1,98511
700,0,98886,1,98886
700,0,99261,1,99261
400,0,99636,1,99636
400,0,100011,1,100011
400,0,100386,1,100386
400,0,100761,1,100761
850,0,101136,1,101136
850,0,101511,1,101511
850,0,101886,1,101886
850,0,102261,1,102261
700,0,102636,1,102636
700,0,103011,1,103011
700,0,103386,1,103386
700,0,103761,1,103761
550,0,104136,1,104136
550,0,104511,1,104511
550,0,104886,1,104886
550,0,105261,1,105261
850,0,105636,1,105636
850,0,106011,1,106011
850,0,106386,1,106386
850,0,106761,1,106761
400,0,107136,1,107136
400,0,107511,1,107511
400,0,107886,1,107886
400,0,108261,1,108261
700,0,108636,1,108636
400,0,109011,1,109011
700,0,109386,1,109386
400,0,109761,1,109761
700,0,110136,1,110136
400,0,110511,1,110511
700,0,110886,1,110886
400,0,111261,1,111261
550,0,111636,1,111636
850,0,112011,1,112011
550,0,112386,1,112386
850,0,112761,1,112761
550,0,113136,1,113136
850,0,113511,1,113511
550,0,113886,1,113886
850,0,114261,1,114261
400,0,114636,1,114636
700,0,115011,1,115011
400,0,115386,1,115386
700,0,115761,1,115761
400,0,116136,1,116136
700,0,116511,1,116511
400,0,116886,1,116886
700,0,117261,1,117261
400,0,117636,1,117636
550,0,118011,1,118011
700,0,118386,1,118386
850,0,118761,1,118761
850,0,119136,128,120636
400,0,120636,1,120636
850,0,121011,1,121011
400,0,121386,1,121386
850,0,121761,1,121761
400,0,122136,1,122136
850,0,122511,1,122511
400,0,122886,1,122886
850,0,123261,1,123261
550,0,123636,1,123636
700,0,124011,1,124011
550,0,124386,1,124386
700,0,124761,1,124761
550,0,125136,1,125136
700,0,125511,1,125511
550,0,125886,1,125886
700,0,126261,1,126261
850,0,126636,1,126636
400,0,127011,1,127011
850,0,127386,1,127386
400,0,127761,1,127761
850,0,128136,1,128136
400,0,128511,1,128511
850,0,128886,1,128886
400,0,129261,1,129261
700,0,129636,1,129636
550,0,130011,1,130011
700,0,130386,1,130386
550,0,130761,1,130761
700,0,131136,1,131136
550,0,131511,1,131511
700,0,131886,1,131886
550,0,132261,128,132636
850,0,132636,1,132636
550,0,144261,132,144261
400,0,144636,1,144636
850,0,144636,1,144636
700,0,145011,1,145011
400,0,145198,1,145198
550,0,145386,1,145386
700,0,145761,1,145761
550,0,145948,1,145948
850,0,146136,1,146136
700,0,146511,1,146511
400,0,146698,1,146698
550,0,146886,1,146886
700,0,147261,1,147261
550,0,147448,1,147448
400,0,147636,1,147636
550,0,148011,1,148011
400,0,148198,1,148198
700,0,148386,1,148386
550,0,148761,1,148761
850,0,148948,1,148948
400,0,149136,1,149136
550,0,149511,1,149511
850,0,149698,1,149698
700,0,149886,1,149886
850,0,150261,1,150261
550,0,150448,1,150448
400,0,150636,1,150636
550,0,151011,1,151011
400,0,151198,1,151198
700,0,151386,1,151386
550,0,151761,1,151761
850,0,151948,1,151948
400,0,152136,1,152136
550,0,152511,1,152511
400,0,152698,1,152698
700,0,152886,1,152886
550,0,153261,1,153261
700,0,153448,1,153448
850,0,153636,1,153636
700,0,154011,1,154011
400,0,154198,1,154198
550,0,154386,1,154386
700,0,154761,1,154761
550,0,154948,1,154948
850,0,155136,1,155136
700,0,155511,1,155511
400,0,155698,1,155698
550,0,155886,1,155886
400,0,156261,1,156261
700,0,156448,1,156448
850,0,156636,128,157386
550,0,157011,1,157011
700,0,157386,128,158136
400,0,157761,1,157761
550,0,158136,128,158886
850,0,158511,1,158511
400,0,158886,128,159636
700,0,159261,1,159261
850,0,159636,128,160386
550,0,160011,1,160011
700,0,160386,128,161136
400,0,160761,1,160761
550,0,161136,128,161886
850,0,161511,1,161511
700,0,161886,128,162636
400,0,162261,1,162261
400,0,162636,128,163386
700,0,163011,1,163011
550,0,163386,128,164136
850,0,163761,1,163761
700,0,164136,128,164886
400,0,164511,1,164511
850,0,164886,128,165636
550,0,165261,1,165261
400,0,165636,128,166386
700,0,166011,1,166011
550,0,166386,128,167136
850,0,166761,1,166761
700,0,167136,128,167886
400,0,167511,1,167511
550,0,167886,128,168636
850,0,168261,1,168261
850,0,168636,1,168636
400,0,169011,1,169011
550,0,169198,1,169198
700,0,169386,1,169386
400,0,169761,1,169761
850,0,169948,1,169948
550,0,170136,1,170136
400,0,170511,1,170511
550,0,170698,1,170698
700,0,170886,1,170886
400,0,171261,1,171261
700,0,171448,1,171448
850,0,171636,1,171636
400,0,172011,1,172011
550,0,172198,1,172198
850,0,172386,1,172386
550,0,172761,1,172761
700,0,172948,1,172948
850,0,173136,1,173136
700,0,173511,1,173511
400,0,173698,1,173698
850,0,173886,1,173886
550,0,174261,1,174261
700,0,174448,1,174448
850,0,174636,1,174636
400,0,175011,1,175011
550,0,175198,1,175198
700,0,175386,1,175386
550,0,175761,1,175761
700,0,175948,1,175948
850,0,176136,1,176136
400,0,176511,1,176511
550,0,176698,1,176698
700,0,176886,1,176886
550,0,177261,1,177261
850,0,177448,1,177448
700,0,177636,1,177636
550,0,178011,1,178011
700,0,178198,1,178198
850,0,178386,1,178386
400,0,178761,1,178761
550,0,178948,1,178948
700,0,179136,1,179136
550,0,179511,1,179511
700,0,179698,1,179698
850,0,179886,1,179886
400,0,180261,1,180261
550,0,180448,1,180448
700,0,180636,1,180636
550,0,181011,1,181011
700,0,181198,1,181198
400,0,181386,1,181386
850,0,181761,1,181761
700,0,181948,1,181948
550,0,182136,1,182136
700,0,182511,1,182511
550,0,182698,1,182698
850,0,182886,1,182886
400,0,183261,1,183261
550,0,183448,1,183448
700,0,183636,1,183636
400,0,184011,1,184011
700,0,184198,1,184198
550,0,184386,1,184386
850,0,184761,1,184761
700,0,184948,1,184948
550,0,185136,1,185136
850,0,185511,1,185511
550,0,185698,1,185698
700,0,185886,1,185886
400,0,186261,1,186261
700,0,186448,1,186448
550,0,186636,1,186636
400,0,187011,1,187011
550,0,187198,1,187198
700,0,187386,1,187386
550,0,187761,1,187761
850,0,187948,1,187948
700,0,188136,1,188136
850,0,188511,1,188511
700,0,188698,1,188698
550,0,188886,1,188886
700,0,189261,1,189261
550,0,189448,1,189448
400,0,189636,1,189636
850,0,190011,1,190011
700,0,190198,1,190198
550,0,190386,1,190386
700,0,190761,1,190761
550,0,190948,1,190948
400,0,191136,1,191136
850,0,191511,1,191511
700,0,191698,1,191698
550,0,191886,1,191886
700,0,192261,1,192261
550,0,192448,1,192448
400,0,192636,128,193011
850,0,193011,128,193386
550,0,193386,128,193761
700,0,193761,128,194136
400,0,194136,1,194136
550,0,194323,1,194323
850,0,194511,128,194886
700,0,194886,1,194886
550,0,195073,1,195073
400,0,195261,128,195636
850,0,195636,128,201636
